rep,seed,drug,cell_line,n_cells,within_line_sd,line_mean_pred
X_pca,42,doxorubicin,NCIH2126_LUNG,264,0.08279803900578407,0.5476203026870886
X_pca,42,doxorubicin,SW579_THYROID,217,0.08401524879271177,0.5887581137468189
X_pca,42,doxorubicin,NCIH446_LUNG,196,0.09844896283440577,0.4510988717784687
X_pca,42,doxorubicin,HEC251_ENDOMETRIUM,107,0.09314097430125873,0.5758250241524705
X_pca,42,doxorubicin,MFE319_ENDOMETRIUM,191,0.10242360068606544,0.513082604289679
X_pca,42,doxorubicin,SKNAS_AUTONOMIC_GANGLIA,226,0.09485053141864115,0.38459166185518284
X_pca,42,doxorubicin,NCIH2452_PLEURA,538,0.07797401133701032,0.6074897535560743
X_pca,42,doxorubicin,COLO741_SKIN,329,0.0960491210707457,0.46506433664484226
X_pca,42,doxorubicin,KNS42_CENTRAL_NERVOUS_SYSTEM,172,0.1270719394961055,0.5873710688116939
X_pca,42,doxorubicin,MCF7_BREAST,143,0.07546937402407433,0.880169677150833
X_pca,42,doxorubicin,HT1197_URINARY_TRACT,74,0.10591004441524773,0.5569335363201193
X_pca,42,doxorubicin,SNU899_UPPER_AERODIGESTIVE_TRACT,83,0.06826002012815353,0.4143246448183634
X_pca,42,doxorubicin,HCC38_BREAST,200,0.11780411356685833,0.6424624109268189
X_pca,42,doxorubicin,SNU308_BILIARY_TRACT,94,0.09853421337717924,0.596688577786405
X_pca,42,doxorubicin,SW1271_LUNG,115,0.12650674558273145,0.6432389508122983
X_pca,42,doxorubicin,TM31_CENTRAL_NERVOUS_SYSTEM,116,0.08855007406826139,0.5157133582337149
X_pca,42,doxorubicin,NCIH747_LARGE_INTESTINE,80,0.08467768300030931,0.7005089286714792
X_pca,42,doxorubicin,KPNSI9S_AUTONOMIC_GANGLIA,129,0.10150594858976662,0.3954194382179615
X_pca,42,doxorubicin,SQ1_LUNG,238,0.0816840043948641,0.5693108399375146
X_pca,42,doxorubicin,IALM_LUNG,322,0.11662263074111917,0.44405258109110485
X_pca,42,doxorubicin,BT474_BREAST,125,0.09369287255271945,0.6954623072147369
X_pca,42,doxorubicin,DKMG_CENTRAL_NERVOUS_SYSTEM,271,0.10418111119262738,0.4810443877953885
X_pca,42,doxorubicin,BT549_BREAST,266,0.10906118363392625,0.5287037187052849
X_pca,42,doxorubicin,BICR6_UPPER_AERODIGESTIVE_TRACT,286,0.09003706517747732,0.6044052564180814
X_pca,42,doxorubicin,SH10TC_STOMACH,351,0.08843604368771212,0.7717716343212672
X_pca,42,doxorubicin,UMUC1_URINARY_TRACT,197,0.08136849140255085,0.5060994879243338
X_pca,42,doxorubicin,LS1034_LARGE_INTESTINE,146,0.10167321317340884,0.6390051396742259
X_pca,42,doxorubicin,CCFSTTG1_CENTRAL_NERVOUS_SYSTEM,246,0.09870565005235706,0.5459577761045317
X_pca,42,doxorubicin,NCIH226_LUNG,235,0.11915535493657013,0.656543259417757
X_pca,42,doxorubicin,LNCAPCLONEFGC_PROSTATE,129,0.10103465291689051,0.4407840084659961
X_pca,42,doxorubicin,RCC10RGB_KIDNEY,233,0.09364027229235945,0.6420878582502128
X_pca,42,doxorubicin,RERFLCAD1_LUNG,243,0.1004857942173806,0.6473063777503654
X_pca,42,doxorubicin,SKMEL2_SKIN,276,0.1295181337688083,0.6004250098181807
X_pca,42,doxorubicin,BICR31_UPPER_AERODIGESTIVE_TRACT,248,0.08556848769770481,0.5442442835098312
X_pca,42,doxorubicin,RCM1_LARGE_INTESTINE,128,0.08886182596054683,0.6833508531562984
X_pca,42,doxorubicin,COV434_OVARY,88,0.1404355767401631,0.5079488530755043
X_pca,42,doxorubicin,SNU1079_BILIARY_TRACT,73,0.14940877427924876,0.7599573804907602
X_pca,42,doxorubicin,YD38_UPPER_AERODIGESTIVE_TRACT,624,0.11672749879975944,0.5470201674466714
X_pca,42,doxorubicin,NCIH1299_LUNG,534,0.10936267409772833,0.5468561916650457
X_pca,42,doxorubicin,IGR37_SKIN,347,0.11543112835860381,0.48921422887947785
X_pca,42,doxorubicin,BFTC909_KIDNEY,379,0.12028166075216386,0.60433622762207
X_pca,42,doxorubicin,NCIH460_LUNG,837,0.09127118440469395,0.4778710719077818
X_pca,42,doxorubicin,IGR1_SKIN,725,0.08377646113834772,0.6103479930861243
X_pca,42,doxorubicin,VMCUB1_URINARY_TRACT,478,0.1234539246134137,0.5306977430771584
X_pca,42,doxorubicin,JHOC5_OVARY,145,0.10555188507207365,0.5875246064416293
X_pca,42,doxorubicin,42MGBA_CENTRAL_NERVOUS_SYSTEM,518,0.14717382184136735,0.46061246143114615
X_pca,42,doxorubicin,HT1080_SOFT_TISSUE,516,0.10260303660635127,0.4556296903264615
X_pca,42,doxorubicin,LI7_LIVER,196,0.15747722985824522,0.6825553159020386
X_pca,42,doxorubicin,A375_SKIN,593,0.09350434788244597,0.5837350463083181
X_pca,42,doxorubicin,FTC133_THYROID,140,0.09664804158422975,0.6387814319559506
X_pca,42,doxorubicin,OVK18_OVARY,178,0.10786100510065985,0.5285729094502631
X_pca,42,doxorubicin,ACCMESO1_PLEURA,162,0.12719844466310162,0.7358553959631625
X_pca,42,doxorubicin,HMC18_BREAST,293,0.10175088151713384,0.5136671190375761
X_pca,42,doxorubicin,TOV112D_OVARY,78,0.08912873737001033,0.3447615110721344
X_pca,42,doxorubicin,JHH6_LIVER,206,0.0963304966584287,0.682019083968644
X_pca,42,doxorubicin,A2058_SKIN,294,0.10815362418722553,0.5551102701701275
X_pca,42,doxorubicin,NCIH2110_LUNG,1990,0.08786950320902279,0.6228170740394736
X_pca,42,doxorubicin,NCIH650_LUNG,271,0.1005050725776734,0.5606282278620449
X_pca,42,doxorubicin,EFE184_ENDOMETRIUM,86,0.12250611004553379,0.5972868328870728
X_pca,42,doxorubicin,HUPT3_PANCREAS,136,0.10714133362307442,0.6839881745331428
X_pca,42,doxorubicin,MDAMB361_BREAST,135,0.08629117552606333,0.7366435256269243
X_pca,42,doxorubicin,BCPAP_THYROID,152,0.10503723729112274,0.4660234425805117
X_pca,42,doxorubicin,PECAPJ49_UPPER_AERODIGESTIVE_TRACT,202,0.1195196463871014,0.5569025418250868
X_pca,42,doxorubicin,EKVX_LUNG,146,0.1139411434576586,0.5861325327255954
X_pca,42,doxorubicin,BICR56_UPPER_AERODIGESTIVE_TRACT,81,0.06010088387906072,0.4418797055144369
X_pca,42,doxorubicin,NCIH2170_LUNG,142,0.12170403759304114,0.5230390991963131
X_pca,42,doxorubicin,DETROIT562_UPPER_AERODIGESTIVE_TRACT,163,0.10097730487472621,0.506605312319621
X_pca,42,doxorubicin,SW1088_CENTRAL_NERVOUS_SYSTEM,128,0.13523293000459458,0.5161758118774742
X_pca,42,doxorubicin,BHY_UPPER_AERODIGESTIVE_TRACT,145,0.08125612409761064,0.530590563601461
X_pca,42,doxorubicin,CAS1_CENTRAL_NERVOUS_SYSTEM,133,0.11209760151351685,0.5317005432189855
X_pca,42,doxorubicin,HCC1428_BREAST,127,0.0806547207040475,0.713259650027658
X_pca,42,doxorubicin,HDQP1_BREAST,64,0.10601525374805665,0.5865253945812583
X_pca,42,doxorubicin,OSRC2_KIDNEY,126,0.07504743697548377,0.7832388731222304
X_pca,42,doxorubicin,HUPT4_PANCREAS,56,0.08914091857727577,0.6588261340345655
X_pca,42,doxorubicin,TCCSUP_URINARY_TRACT,316,0.09240775471534171,0.5948133154571811
X_pca,42,doxorubicin,VMRCRCZ_KIDNEY,300,0.11114499394708648,0.7333704560001691
X_pca,42,doxorubicin,PK59_PANCREAS,174,0.09552714188469495,0.7372537700609229
X_pca,42,doxorubicin,HUH6_LIVER,338,0.11670928577453117,0.6338639462135247
X_pca,42,doxorubicin,MSTO211H_PLEURA,297,0.1087107760160846,0.6563806382293251
X_pca,42,doxorubicin,HS852T_SKIN,162,0.09174046190409633,0.6902032303221431
X_pca,42,doxorubicin,SKMEL30_SKIN,353,0.11580764475132041,0.6890755137877154
X_pca,42,doxorubicin,T47D_BREAST,221,0.09484188336256674,0.6325992546739622
X_pca,42,doxorubicin,CALU6_LUNG,258,0.11344081440059155,0.6889041024585103
X_pca,42,doxorubicin,NCIH522_LUNG,208,0.08002276829281166,0.31385333965031
X_pca,42,doxorubicin,LMSU_STOMACH,255,0.09672232996847603,0.4723162573926589
X_pca,42,doxorubicin,SNUC4_LARGE_INTESTINE,467,0.10174488729386279,0.5821560854191954
X_pca,42,doxorubicin,RVH421_SKIN,239,0.14607932846944666,0.5939440742197396
X_pca,42,doxorubicin,OVSAHO_OVARY,227,0.10033201650272391,0.5947711037119054
X_pca,42,doxorubicin,GOS3_CENTRAL_NERVOUS_SYSTEM,191,0.13306524028125152,0.6193528601324371
X_pca,42,doxorubicin,SNU738_CENTRAL_NERVOUS_SYSTEM,379,0.10281270101024596,0.6078478307868685
X_pca,42,doxorubicin,PC3_PROSTATE,169,0.11727486524494486,0.7393003190762898
X_pca,42,doxorubicin,PATU8988S_PANCREAS,244,0.10642586670536441,0.9167923216448456
X_pca,42,doxorubicin,OVTOKO_OVARY,209,0.0750969687922997,0.7448283513767298
X_pca,42,doxorubicin,TE1_OESOPHAGUS,206,0.1222124489572593,0.5056450614362087
X_pca,42,doxorubicin,NCIH2087_LUNG,219,0.10137099628621274,0.5654000005765593
X_pca,42,doxorubicin,EFM192A_BREAST,333,0.077585401894327,0.5978494636468343
X_pca,42,doxorubicin,SNU423_LIVER,212,0.11142144493176498,0.5484595072438132
X_pca,42,doxorubicin,KPL1_BREAST,276,0.06782396430094612,0.6937512138831443
X_pca,42,doxorubicin,NCIH358_LUNG,336,0.12845969445667688,0.5696699294660773
X_pca,42,doxorubicin,COLO792_SKIN,271,0.1197995264421785,0.5048763570530388
X_pca,42,doxorubicin,KYSE520_OESOPHAGUS,323,0.08580405531494859,0.5656799713709036
X_pca,42,doxorubicin,KMRC3_KIDNEY,245,0.09480012348493769,0.7876427064136583
X_pca,42,doxorubicin,MKN7_STOMACH,258,0.09452091754756631,0.6532409454500953
X_pca,42,doxorubicin,NCIH1944_LUNG,414,0.1209756377616453,0.5314242312873619
X_pca,42,doxorubicin,TE6_OESOPHAGUS,551,0.08991834710437109,0.5131448999507024
X_pca,42,doxorubicin,ZR751_BREAST,309,0.08839614002666887,0.6966704202508464
X_pca,42,doxorubicin,PANC0203_PANCREAS,506,0.07308282899279894,0.504519279177481
X_pca,42,doxorubicin,SW1990_PANCREAS,307,0.102450052760167,0.7379583327117882
X_pca,42,doxorubicin,RD_SOFT_TISSUE,261,0.12900440656991005,0.5579174728457499
X_pca,42,doxorubicin,NCIH1792_LUNG,111,0.15882596484060368,0.427081005261825
X_pca,42,doxorubicin,PK45H_PANCREAS,271,0.12489402463437475,0.6035295033146975
X_pca,42,doxorubicin,LS180_LARGE_INTESTINE,361,0.07982446297735388,0.7470807546228583
X_pca,42,doxorubicin,RERFLCAI_LUNG,763,0.07958175863027599,0.7403686857082897
X_pca,42,doxorubicin,CAMA1_BREAST,291,0.07697976809169625,0.6355937646631523
X_pca,42,doxorubicin,SNU449_LIVER,282,0.07329933769814398,0.635569210910628
X_pca,42,doxorubicin,A204_SOFT_TISSUE,250,0.12479155966785155,0.4185538362264633
X_pca,42,doxorubicin,MKN45_STOMACH,118,0.09498550791606078,0.6301348603377908
X_pca,42,doxorubicin,HEP3B217_LIVER,118,0.07690659096045122,0.5159443316318221
X_pca,42,doxorubicin,HOS_BONE,829,0.1354174153929532,0.4393771175739992
X_pca,42,doxorubicin,EBC1_LUNG,186,0.09025844949833804,0.5399711673618645
X_pca,42,doxorubicin,NCIH292_LUNG,213,0.07796028094656719,0.47561960237126955
X_pca,42,doxorubicin,OUMS23_LARGE_INTESTINE,107,0.07272081239299374,0.574769082470475
X_pca,42,doxorubicin,HEC151_ENDOMETRIUM,250,0.10953304310688966,0.5581782788038254
X_pca,42,doxorubicin,NCIH1373_LUNG,164,0.10088101253427276,0.6916541486251645
X_pca,42,doxorubicin,TE9_OESOPHAGUS,248,0.07891987262786013,0.5408599183203713
X_pca,42,doxorubicin,HCC56_LARGE_INTESTINE,99,0.07053536834047801,0.7190511341046806
X_pca,42,doxorubicin,HT55_LARGE_INTESTINE,211,0.07722074204332659,0.7801628398104301
X_pca,42,doxorubicin,RT4_URINARY_TRACT,106,0.08384010908859678,0.5804652268031858
X_pca,42,doxorubicin,SKES1_BONE,91,0.09743201147641452,0.48422941663763025
X_pca,42,doxorubicin,NCIH1435_LUNG,267,0.07638523332242164,0.5424269954586743
X_pca,42,doxorubicin,8305C_THYROID,459,0.1116757381542304,0.42740458626632855
X_pca,42,doxorubicin,NCIH2228_LUNG,367,0.07167360680354963,0.6695886471128594
X_pca,42,doxorubicin,TE10_OESOPHAGUS,219,0.11996814806675489,0.61932087053447
X_pca,42,doxorubicin,ASPC1_PANCREAS,290,0.1149328587355807,0.7521483277452403
X_pca,42,doxorubicin,HCC366_LUNG,202,0.0954318333022838,0.645849212266431
X_pca,42,doxorubicin,BICR16_UPPER_AERODIGESTIVE_TRACT,212,0.0882177399961407,0.5467625623041729
X_pca,42,doxorubicin,HEC6_ENDOMETRIUM,161,0.13358458899602565,0.5265595605654746
X_pca,42,doxorubicin,KALS1_CENTRAL_NERVOUS_SYSTEM,288,0.09696277831960289,0.5546628672422634
X_pca,42,doxorubicin,NCIH2444_LUNG,237,0.07262223730195075,0.523994865171014
X_pca,42,doxorubicin,SNU46_UPPER_AERODIGESTIVE_TRACT,236,0.1433269343754403,0.5569076474945424
X_pca,42,doxorubicin,OAW28_OVARY,161,0.06311859906641445,0.5833126969218995
X_pca,42,doxorubicin,SNU1214_UPPER_AERODIGESTIVE_TRACT,188,0.08683506081434011,0.6812065605153429
X_pca,42,doxorubicin,SKMEL5_SKIN,297,0.1636836617808095,0.7249057252800425
X_pca,42,doxorubicin,OVCAR4_OVARY,283,0.08839343407896198,0.7509716559635877
X_pca,42,doxorubicin,UACC257_SKIN,239,0.10127551914843518,0.6303319460926694
X_pca,42,doxorubicin,ONCODG1_OVARY,270,0.08314223473129242,0.7008216935175436
X_pca,42,doxorubicin,HUH28_BILIARY_TRACT,139,0.10973210510994286,0.538931108421559
X_pca,42,doxorubicin,IM95_STOMACH,185,0.10803458475230941,0.7975475736566492
X_pca,42,doxorubicin,TE14_OESOPHAGUS,474,0.09116127936224043,0.576371776340883
X_pca,42,doxorubicin,CAKI2_KIDNEY,278,0.1176601031412322,0.6681754494742523
X_pca,42,doxorubicin,SU8686_PANCREAS,82,0.09172403266984108,0.6506403906316292
X_pca,42,doxorubicin,SCC25_UPPER_AERODIGESTIVE_TRACT,898,0.06334835108115104,0.510893896255302
X_pca,42,doxorubicin,SCC9_UPPER_AERODIGESTIVE_TRACT,475,0.08398525498131156,0.5393121751358635
X_pca,42,platin,NCIH2126_LUNG,264,0.07796690378697717,0.9226580727280993
X_pca,42,platin,SW579_THYROID,217,0.05745985381053159,0.9647889499840099
X_pca,42,platin,NCIH446_LUNG,196,0.05904127116546971,1.0316135898536565
X_pca,42,platin,HEC251_ENDOMETRIUM,107,0.05131250257628388,1.0418114879420985
X_pca,42,platin,MFE319_ENDOMETRIUM,191,0.07635408934384091,1.0244656280073197
X_pca,42,platin,SKNAS_AUTONOMIC_GANGLIA,226,0.06230817639048708,0.9725870598206477
X_pca,42,platin,NCIH2452_PLEURA,538,0.06749221844030892,0.9493596311173917
X_pca,42,platin,COLO741_SKIN,329,0.056609188283217496,1.060693733235623
X_pca,42,platin,KNS42_CENTRAL_NERVOUS_SYSTEM,172,0.0853387756220496,1.0923985267101333
X_pca,42,platin,MCF7_BREAST,143,0.06026187842700719,1.024690626384495
X_pca,42,platin,HT1197_URINARY_TRACT,74,0.10216559693349161,0.9148028847333547
X_pca,42,platin,SNU899_UPPER_AERODIGESTIVE_TRACT,83,0.04304543734382172,1.0036254654447716
X_pca,42,platin,HCC38_BREAST,200,0.07103822288346288,1.025087223947048
X_pca,42,platin,SNU308_BILIARY_TRACT,94,0.0881733483822318,0.9888134408504405
X_pca,42,platin,SW1271_LUNG,115,0.067501036466596,0.9873268179271533
X_pca,42,platin,TM31_CENTRAL_NERVOUS_SYSTEM,116,0.06569160070140609,1.0329466641976917
X_pca,42,platin,NCIH747_LARGE_INTESTINE,80,0.0631964049152019,0.9828274115920067
X_pca,42,platin,KPNSI9S_AUTONOMIC_GANGLIA,129,0.07087348392629579,0.9891567599865817
X_pca,42,platin,SQ1_LUNG,238,0.060242499965432475,1.0203063352769162
X_pca,42,platin,IALM_LUNG,322,0.11035165310756566,1.0112174697544263
X_pca,42,platin,BT474_BREAST,125,0.0682324609351155,0.9821161360740661
X_pca,42,platin,DKMG_CENTRAL_NERVOUS_SYSTEM,271,0.06650821040269246,1.0162668309528449
X_pca,42,platin,BT549_BREAST,266,0.07855960366244628,0.9727041566730442
X_pca,42,platin,BICR6_UPPER_AERODIGESTIVE_TRACT,286,0.06314961402454067,0.989831267536937
X_pca,42,platin,SH10TC_STOMACH,351,0.06795914840704517,0.9870757221156715
X_pca,42,platin,UMUC1_URINARY_TRACT,197,0.055857860861498514,0.9660674729928147
X_pca,42,platin,LS1034_LARGE_INTESTINE,146,0.07838216357753021,1.0172090064989376
X_pca,42,platin,CCFSTTG1_CENTRAL_NERVOUS_SYSTEM,246,0.0734058442775821,1.0792209416385588
X_pca,42,platin,NCIH226_LUNG,235,0.0795967998790854,0.9958699277106752
X_pca,42,platin,LNCAPCLONEFGC_PROSTATE,129,0.06861004872068445,0.9834346272224603
X_pca,42,platin,RCC10RGB_KIDNEY,233,0.06742339421794531,0.9441305396382901
X_pca,42,platin,RERFLCAD1_LUNG,243,0.08015064952038478,0.9151953260103861
X_pca,42,platin,SKMEL2_SKIN,276,0.07765893820034858,1.0826980890571207
X_pca,42,platin,BICR31_UPPER_AERODIGESTIVE_TRACT,248,0.059971883245743034,1.0554997630177005
X_pca,42,platin,RCM1_LARGE_INTESTINE,128,0.04318721303287813,1.0434827911667526
X_pca,42,platin,COV434_OVARY,88,0.10249748751058739,1.0211329785260288
X_pca,42,platin,SNU1079_BILIARY_TRACT,73,0.08107809713579499,1.0013129482530567
X_pca,42,platin,YD38_UPPER_AERODIGESTIVE_TRACT,624,0.0850122099549182,0.9954612335333457
X_pca,42,platin,NCIH1299_LUNG,534,0.08833840484841886,1.0628955963622317
X_pca,42,platin,IGR37_SKIN,347,0.06661079632104912,1.0670281653789004
X_pca,42,platin,BFTC909_KIDNEY,379,0.08132437222270016,0.9897887661148816
X_pca,42,platin,NCIH460_LUNG,837,0.06382853805959486,1.0975489917621817
X_pca,42,platin,IGR1_SKIN,725,0.06939372712803557,1.0643097828996593
X_pca,42,platin,VMCUB1_URINARY_TRACT,478,0.09241828582113533,0.9948736093782481
X_pca,42,platin,JHOC5_OVARY,145,0.06993778151000998,1.0420043637012613
X_pca,42,platin,42MGBA_CENTRAL_NERVOUS_SYSTEM,518,0.1219711645852478,1.0068086493889798
X_pca,42,platin,HT1080_SOFT_TISSUE,516,0.0736464653203418,1.0413054510835529
X_pca,42,platin,LI7_LIVER,196,0.10852226135031216,1.0208932693515504
X_pca,42,platin,A375_SKIN,593,0.05990991742809648,1.1087997946731156
X_pca,42,platin,FTC133_THYROID,140,0.0791292548082226,1.0607571665729796
X_pca,42,platin,OVK18_OVARY,178,0.06627011491732747,1.021682653869136
X_pca,42,platin,ACCMESO1_PLEURA,162,0.07011309044705931,0.9570367726278893
X_pca,42,platin,HMC18_BREAST,293,0.07784241639621861,1.0111162709294732
X_pca,42,platin,TOV112D_OVARY,78,0.07792372117766885,0.9800124099621406
X_pca,42,platin,JHH6_LIVER,206,0.0615859736760609,1.070572014283208
X_pca,42,platin,A2058_SKIN,294,0.08771464447539529,1.0301423883762488
X_pca,42,platin,NCIH2110_LUNG,1990,0.06324989141913306,0.9428008426074407
X_pca,42,platin,NCIH650_LUNG,271,0.0629521639693046,0.9222389310048515
X_pca,42,platin,EFE184_ENDOMETRIUM,86,0.1001397888311499,0.9908129829306935
X_pca,42,platin,HUPT3_PANCREAS,136,0.07313598979388114,1.0516918910776867
X_pca,42,platin,MDAMB361_BREAST,135,0.0648756014627913,1.070029169541818
X_pca,42,platin,BCPAP_THYROID,152,0.1055895309705972,0.9603141412923211
X_pca,42,platin,PECAPJ49_UPPER_AERODIGESTIVE_TRACT,202,0.06897455286058082,1.011789996140074
X_pca,42,platin,EKVX_LUNG,146,0.075003733896536,1.0161777412238187
X_pca,42,platin,BICR56_UPPER_AERODIGESTIVE_TRACT,81,0.05061252752744327,1.1315367781085732
X_pca,42,platin,NCIH2170_LUNG,142,0.09903267959398432,0.887098899189855
X_pca,42,platin,DETROIT562_UPPER_AERODIGESTIVE_TRACT,163,0.05951650093051681,1.0050127758570244
X_pca,42,platin,SW1088_CENTRAL_NERVOUS_SYSTEM,128,0.10746786762991131,0.9984830673784018
X_pca,42,platin,BHY_UPPER_AERODIGESTIVE_TRACT,145,0.05792992090601323,1.0303138231409008
X_pca,42,platin,CAS1_CENTRAL_NERVOUS_SYSTEM,133,0.07630697316720038,1.0259429090901424
X_pca,42,platin,HCC1428_BREAST,127,0.0640675266621321,1.0044859638364296
X_pca,42,platin,HDQP1_BREAST,64,0.06023422171345372,1.0329677145928144
X_pca,42,platin,OSRC2_KIDNEY,126,0.05183585657121995,1.1127642676943825
X_pca,42,platin,HUPT4_PANCREAS,56,0.07560850714384831,0.9316957656826291
X_pca,42,platin,TCCSUP_URINARY_TRACT,316,0.06418856670434674,1.0057454712783234
X_pca,42,platin,VMRCRCZ_KIDNEY,300,0.0816651762570788,1.0001475991805395
X_pca,42,platin,PK59_PANCREAS,174,0.0657966728113279,0.9103743430526777
X_pca,42,platin,HUH6_LIVER,338,0.07357437568889058,0.884883369214436
X_pca,42,platin,MSTO211H_PLEURA,297,0.0865007451709774,0.9451332393318715
X_pca,42,platin,HS852T_SKIN,162,0.06401491463537569,1.0368197372666113
X_pca,42,platin,SKMEL30_SKIN,353,0.08304516802246133,1.0467469633132136
X_pca,42,platin,T47D_BREAST,221,0.07425654101230482,1.0374416541729579
X_pca,42,platin,CALU6_LUNG,258,0.06602847500799897,0.9827523693557858
X_pca,42,platin,NCIH522_LUNG,208,0.060276728249225406,0.9391087391055547
X_pca,42,platin,LMSU_STOMACH,255,0.05969465445013348,0.9745058127478057
X_pca,42,platin,SNUC4_LARGE_INTESTINE,467,0.06972018407976699,0.9950516808466942
X_pca,42,platin,RVH421_SKIN,239,0.11504330071777953,1.0254796768332126
X_pca,42,platin,OVSAHO_OVARY,227,0.0582980754991877,0.9794407423897462
X_pca,42,platin,GOS3_CENTRAL_NERVOUS_SYSTEM,191,0.08113140784680054,1.0085561197465627
X_pca,42,platin,SNU738_CENTRAL_NERVOUS_SYSTEM,379,0.07372411249175098,0.9765849745682488
X_pca,42,platin,PC3_PROSTATE,169,0.10021300547494838,0.9931613358520192
X_pca,42,platin,PATU8988S_PANCREAS,244,0.0618985092118995,0.9439960139208152
X_pca,42,platin,OVTOKO_OVARY,209,0.05956626819673988,1.001647183484438
X_pca,42,platin,TE1_OESOPHAGUS,206,0.0913942159109804,0.97229307658464
X_pca,42,platin,NCIH2087_LUNG,219,0.07164999104613841,0.9321809372945463
X_pca,42,platin,EFM192A_BREAST,333,0.06039904378566251,0.9468324852061343
X_pca,42,platin,SNU423_LIVER,212,0.10326425610245152,0.9484116041435385
X_pca,42,platin,KPL1_BREAST,276,0.051491259279906505,0.992444046381591
X_pca,42,platin,NCIH358_LUNG,336,0.08530649793640455,0.9785746467255411
X_pca,42,platin,COLO792_SKIN,271,0.07250530021585058,1.026024939829133
X_pca,42,platin,KYSE520_OESOPHAGUS,323,0.07667358309967391,0.997880710721385
X_pca,42,platin,KMRC3_KIDNEY,245,0.09380341615594448,1.041123474130825
X_pca,42,platin,MKN7_STOMACH,258,0.0777505165326929,0.9285354713598887
X_pca,42,platin,NCIH1944_LUNG,414,0.10188796004413422,0.9222829985445824
X_pca,42,platin,TE6_OESOPHAGUS,551,0.07522221395082286,0.9892792710375223
X_pca,42,platin,ZR751_BREAST,309,0.08263516930922404,0.9945505342437225
X_pca,42,platin,PANC0203_PANCREAS,506,0.06580634050777345,0.9923127699982036
X_pca,42,platin,SW1990_PANCREAS,307,0.06703661897842178,0.9074251164442553
X_pca,42,platin,RD_SOFT_TISSUE,261,0.09289414821970642,0.9678238506974846
X_pca,42,platin,NCIH1792_LUNG,111,0.117536511394553,0.9195078831535202
X_pca,42,platin,PK45H_PANCREAS,271,0.09840575573324532,0.835825170977969
X_pca,42,platin,LS180_LARGE_INTESTINE,361,0.047446590146673746,1.0561920103934332
X_pca,42,platin,RERFLCAI_LUNG,763,0.06369302744583372,0.9937817096553967
X_pca,42,platin,CAMA1_BREAST,291,0.046607471278049276,1.0214455860996574
X_pca,42,platin,SNU449_LIVER,282,0.06044554005092479,1.1094036193181438
X_pca,42,platin,A204_SOFT_TISSUE,250,0.10829455927778395,0.9053927047252655
X_pca,42,platin,MKN45_STOMACH,118,0.07264102663924159,0.9986421390105102
X_pca,42,platin,HEP3B217_LIVER,118,0.0506267093078098,0.9868364733154491
X_pca,42,platin,HOS_BONE,829,0.10455994937895959,0.9554203420841507
X_pca,42,platin,EBC1_LUNG,186,0.05686903577132908,0.928107601019644
X_pca,42,platin,NCIH292_LUNG,213,0.06004169265305266,1.013999966108743
X_pca,42,platin,OUMS23_LARGE_INTESTINE,107,0.06446245301484992,1.08838940669443
X_pca,42,platin,HEC151_ENDOMETRIUM,250,0.1076094098316654,0.8982941012382507
X_pca,42,platin,NCIH1373_LUNG,164,0.05981470581667301,0.9969550305750312
X_pca,42,platin,TE9_OESOPHAGUS,248,0.07391737416482924,1.0068173533485782
X_pca,42,platin,HCC56_LARGE_INTESTINE,99,0.04761816961775064,1.0520411934515443
X_pca,42,platin,HT55_LARGE_INTESTINE,211,0.05738100647782848,1.0096847979943335
X_pca,42,platin,RT4_URINARY_TRACT,106,0.06156787266473732,0.9196884688341392
X_pca,42,platin,SKES1_BONE,91,0.05813409718741878,0.9635150530836084
X_pca,42,platin,NCIH1435_LUNG,267,0.049461658793272134,1.0390438167343425
X_pca,42,platin,8305C_THYROID,459,0.10496280663169427,0.9086966092550157
X_pca,42,platin,NCIH2228_LUNG,367,0.05600556404796553,1.0170280493247736
X_pca,42,platin,TE10_OESOPHAGUS,219,0.09792105238571616,0.8432970615826785
X_pca,42,platin,ASPC1_PANCREAS,290,0.0840805441201676,0.9355523197815336
X_pca,42,platin,HCC366_LUNG,202,0.06891370997792554,0.9914450028745254
X_pca,42,platin,BICR16_UPPER_AERODIGESTIVE_TRACT,212,0.06276287169953501,0.9004196358739205
X_pca,42,platin,HEC6_ENDOMETRIUM,161,0.08068968757593882,0.9218349134699898
X_pca,42,platin,KALS1_CENTRAL_NERVOUS_SYSTEM,288,0.04987641413928246,0.9566564030117459
X_pca,42,platin,NCIH2444_LUNG,237,0.0597983395820832,0.8875963632567523
X_pca,42,platin,SNU46_UPPER_AERODIGESTIVE_TRACT,236,0.11829027270615829,0.8370973023317628
X_pca,42,platin,OAW28_OVARY,161,0.06562184404264287,0.9059473783333108
X_pca,42,platin,SNU1214_UPPER_AERODIGESTIVE_TRACT,188,0.07155577054007342,0.9570508732440624
X_pca,42,platin,SKMEL5_SKIN,297,0.09826536877819696,1.0606976723430133
X_pca,42,platin,OVCAR4_OVARY,283,0.061243082492971654,1.025390037378237
X_pca,42,platin,UACC257_SKIN,239,0.0874995388876577,1.0325423718496347
X_pca,42,platin,ONCODG1_OVARY,270,0.04629236475478736,0.9264942321512434
X_pca,42,platin,HUH28_BILIARY_TRACT,139,0.05062486113552732,0.9616872715435439
X_pca,42,platin,IM95_STOMACH,185,0.07254505919188353,0.9895075098888294
